Date,Open,High,Low,Close,Volume,Adj Close
2021-06-02,80400.0,81400.0,80300.0,80800.0,16414644,80800.0
2021-06-03,81300.0,83000.0,81100.0,82800.0,29546007,82800.0
2021-06-04,82700.0,82700.0,81500.0,82200.0,18112259,82200.0
2021-06-07,82700.0,82800.0,81600.0,81900.0,16496197,81900.0
2021-06-08,82300.0,82600.0,81800.0,81900.0,12781226,81900.0
2021-06-09,81500.0,82000.0,81100.0,81100.0,14908823,81100.0
2021-06-10,81300.0,81400.0,80900.0,81000.0,17586995,81000.0
2021-06-11,81200.0,81700.0,80700.0,81000.0,14087962,81000.0
2021-06-14,80800.0,80900.0,80500.0,80500.0,10550078,80500.0
2021-06-15,80900.0,81200.0,80600.0,80900.0,10075685,80900.0
2021-06-16,81500.0,81900.0,81100.0,81800.0,14999855,81800.0
2021-06-17,81100.0,81300.0,80700.0,80900.0,14007385,80900.0
2021-06-18,81100.0,81100.0,80500.0,80500.0,14916721,80500.0
2021-06-21,79700.0,80000.0,79600.0,79900.0,16063340,79900.0
2021-06-22,80200.0,80300.0,79900.0,80000.0,11773365,80000.0
2021-06-23,80500.0,80600.0,79900.0,80100.0,13856548,80100.0
2021-06-24,80400.0,81400.0,80100.0,81200.0,18771080,81200.0
2021-06-25,81500.0,81900.0,81200.0,81600.0,13481405,81600.0
2021-06-28,81700.0,82000.0,81600.0,81900.0,11578529,81900.0
2021-06-29,81900.0,82100.0,80800.0,81000.0,15744317,81000.0
2021-06-30,81100.0,81400.0,80700.0,80700.0,13288643,80700.0
2021-07-01,80500.0,80600.0,80000.0,80100.0,13382882,80100.0
2021-07-02,80000.0,80400.0,79900.0,80000.0,8753097,80000.0
2021-07-05,80100.0,80800.0,80000.0,80400.0,8330969,80400.0
2021-07-06,80600.0,81200.0,80500.0,81200.0,12131651,81200.0
2021-07-07,81200.0,81300.0,80300.0,80800.0,15992202,80800.0
2021-07-08,81100.0,81200.0,79900.0,79900.0,16660998,79900.0
2021-07-09,79600.0,79800.0,79000.0,79400.0,22720577,79400.0
2021-07-12,79900.0,80000.0,79500.0,79700.0,9768108,79700.0
2021-07-13,80000.0,80200.0,79800.0,79800.0,9863450,79800.0
2021-07-14,79400.0,79600.0,79100.0,79500.0,11575636,79500.0
2021-07-15,79800.0,80600.0,79500.0,80600.0,13766279,80600.0
2021-07-16,80100.0,80100.0,79500.0,79800.0,10859399,79800.0
2021-07-19,79100.0,79200.0,78800.0,79000.0,13155414,79000.0
2021-07-20,78500.0,79000.0,78400.0,79000.0,12456646,79000.0
2021-07-21,79000.0,79100.0,78500.0,78500.0,12355296,78500.0
2021-07-22,79000.0,79800.0,78900.0,79700.0,12618790,79700.0
2021-07-23,79700.0,79900.0,79200.0,79300.0,9098910,79300.0
2021-07-26,79400.0,79500.0,78800.0,78800.0,10040975,78800.0
2021-07-27,79200.0,79400.0,78500.0,78500.0,11427693,78500.0
2021-07-28,78300.0,79200.0,78100.0,79200.0,12743417,79200.0
2021-07-29,78800.0,79400.0,78800.0,79000.0,14360453,79000.0
2021-07-30,78900.0,78900.0,78500.0,78500.0,13823411,78500.0
2021-08-02,79200.0,79500.0,78700.0,79300.0,11739124,79300.0
2021-08-03,79400.0,81400.0,79300.0,81400.0,24339360,81400.0
2021-08-04,82200.0,83100.0,81800.0,82900.0,25642368,82900.0
2021-08-05,83300.0,83300.0,82000.0,82100.0,18485469,82100.0
2021-08-06,81900.0,82500.0,81300.0,81500.0,13342623,81500.0
2021-08-09,81500.0,82300.0,80900.0,81500.0,15522581,81500.0
2021-08-10,82300.0,82400.0,80100.0,80200.0,20362639,80200.0
2021-08-11,79600.0,79800.0,78500.0,78500.0,30241137,78500.0
2021-08-12,77100.0,78200.0,76900.0,77000.0,42365223,77000.0
2021-08-13,75800.0,76000.0,74100.0,74400.0,61270643,74400.0
2021-08-17,74000.0,75100.0,74000.0,74200.0,30944847,74200.0
2021-08-18,73900.0,74600.0,73100.0,73900.0,29192631,73900.0
2021-08-19,73500.0,74400.0,73100.0,73100.0,22166298,73100.0
2021-08-20,73500.0,73900.0,72500.0,72700.0,22364803,72700.0
2021-08-23,73300.0,74000.0,73000.0,73300.0,19384648,73300.0
2021-08-24,73900.0,75700.0,73900.0,75600.0,21016913,75600.0
2021-08-25,76200.0,76600.0,74900.0,75700.0,22319664,75700.0
2021-08-26,76100.0,76200.0,74600.0,74600.0,16671494,74600.0
2021-08-27,74300.0,75000.0,73800.0,74300.0,15172748,74300.0
2021-08-30,75400.0,75500.0,74200.0,74600.0,12686999,74600.0
2021-08-31,74900.0,76700.0,74300.0,76700.0,24630370,76700.0
2021-09-01,76700.0,77100.0,75900.0,76800.0,16114775,76800.0
2021-09-02,76800.0,76800.0,75700.0,76000.0,15347486,76000.0
2021-09-03,76400.0,76700.0,76000.0,76600.0,12096419,76600.0
2021-09-06,76800.0,77600.0,76600.0,77300.0,12861180,77300.0
2021-09-07,77100.0,77100.0,75900.0,76100.0,13239401,76100.0
2021-09-08,76000.0,76400.0,75600.0,76300.0,11798147,76300.0
2021-09-09,76400.0,76600.0,75000.0,75300.0,17600770,75300.0
